EPRTextModeVersion05

Year
2025
Month
1
Day
30
Time
1061
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1286
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	1
2500.08325	0
2500.19995	2
2500.28345	2
2500.36670	2
2500.41675	1
2500.53345	4
2500.58325	2
2500.69995	3
2500.75000	0
2500.86670	2
2500.91675	2
2501.03345	2
2501.08325	1
2501.19995	1
2501.25000	2
2501.36670	1
2501.44995	0
2501.53345	2
2501.58325	0
2501.69995	2
2501.75000	2
2501.86670	2
2501.91675	0
2502.03345	2
2502.08325	2
2502.19995	0
2502.25000	-1
2502.36670	2
2502.41675	-1
2502.53345	-1
2502.58325	1
2502.69995	1
2502.75000	-2
2502.83325	0
2502.91675	1
2503.03345	1
2503.08325	1
2503.19995	1
2503.28345	-1
2503.33325	0
2503.44995	1
2503.53345	1
2503.58325	-1
2503.69995	-1
2503.75000	0
2503.86670	2
2503.91675	1
2504.03345	3
2504.08325	3
2504.19995	2
2504.25000	0
2504.36670	2
2504.41675	3
2504.53345	2
2504.58325	1
2504.69995	3
2504.75000	2
2504.86670	2
2504.91675	2
2505.03345	1
2505.11670	3
2505.19995	4
2505.25000	3
2505.36670	3
2505.41675	2
2505.53345	0
2505.58325	2
2505.69995	3
2505.75000	3
2505.86670	3
2505.91675	3
2506.03345	4
2506.08325	2
2506.19995	2
2506.25000	1
2506.36670	3
2506.41675	1
2506.53345	3
2506.58325	1
2506.69995	2
2506.75000	2
2506.86670	2
2506.94995	2
2507.03345	1
2507.08325	1
2507.19995	1
2507.25000	1
2507.36670	3
2507.45825	2
2507.50000	1
2507.61670	0
2507.69995	1
2507.78345	1
2507.86670	1
2507.91675	0
2508.03345	3
2508.11670	-2
2508.19995	3
