EPRTextModeVersion05

Year
2024
Month
9
Day
30
Time
975
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
1250.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  12.50000
Frequency
   9.16000
Power
  10.00000
Base line
2364
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
16
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	0
2500.11670	-1
2500.19995	0
2500.28345	-1
2500.33325	-1
2500.44995	-1
2500.50830	-2
2500.61670	-2
2500.69995	-2
2500.78345	-1
2500.87500	-3
2500.94995	-2
2501.00000	-2
2501.11670	-2
2501.16675	-3
2501.25000	-2
2501.33325	-2
2501.44995	-2
2501.50830	-2
2501.61670	-3
2501.66675	-2
2501.75000	-2
2501.86670	-3
2501.94995	-3
2502.00000	-3
2502.11670	-3
2502.16675	-3
2502.28345	-4
2502.36670	-3
2502.44995	-4
2502.50830	-4
2502.62500	-4
2502.66675	-5
2502.78345	-4
2502.86670	-3
2502.91675	-3
2503.00000	-3
2503.11670	-4
2503.16675	-4
2503.28345	-3
2503.33325	-3
2503.44995	-2
2503.50830	-3
2503.61670	-3
2503.66675	-4
2503.78345	-3
2503.86670	-3
2503.94995	-2
2504.00000	-3
2504.11670	-3
2504.19995	-4
2504.28345	-4
2504.37500	-4
2504.44995	-2
2504.50830	-3
2504.61670	-3
2504.69995	-3
2504.75000	-3
2504.86670	-3
2504.94995	-3
2505.00000	-3
2505.11670	-2
2505.16675	-4
2505.25000	-4
2505.33325	-4
2505.41675	-5
2505.50000	-4
2505.61670	-4
2505.69995	-4
2505.78345	-4
2505.83325	-4
2505.94995	-3
2506.00000	-3
2506.12500	-3
2506.16675	-3
2506.29175	-3
2506.33325	-3
2506.44995	-2
2506.50830	-3
2506.61670	-3
2506.66675	-2
2506.78345	-3
2506.83325	-3
2506.94995	-3
2507.00000	-3
2507.08325	-2
2507.16675	-3
2507.28345	-3
2507.33325	-2
2507.44995	-2
2507.50830	-3
2507.61670	-3
2507.66675	-2
2507.78345	-2
2507.83325	-1
2507.94995	-1
2508.00000	-2
2508.11670	-3
2508.19995	-2
2508.28345	-2
2508.33325	-2
2508.44995	-2
2508.50830	-2
2508.61670	-2
2508.66675	-3
2508.78345	-2
2508.83325	-3
2508.94995	-3
2509.00000	-3
2509.11670	-3
2509.16675	-3
2509.28345	-3
2509.36670	-3
2509.44995	-2
2509.50000	-2
2509.58325	-2
2509.69995	-2
2509.78345	-1
2509.86670	-1
2509.94995	-2
2510.03345	-1
2510.11670	-1
2510.19995	-1
2510.25000	-1
2510.33325	0
2510.41675	0
2510.50000	0
2510.61670	-1
2510.66675	-2
2510.78345	-2
2510.83325	-1
2510.94995	-2
2511.00000	-2
2511.11670	-2
2511.19995	-2
2511.28345	-1
2511.33325	-1
2511.44995	-1
2511.53345	-1
