EPRTextModeVersion05

Year
2024
Month
9
Day
30
Time
1022
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
2122
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	4
2500.11670	3
2500.16675	3
2500.28345	3
2500.33325	3
2500.44995	4
2500.50000	2
2500.61670	4
2500.66675	3
2500.78345	3
2500.83325	5
2500.95825	5
2501.03345	4
2501.11670	6
2501.19995	7
2501.28345	3
2501.36670	6
2501.41675	6
2501.53345	4
2501.61670	6
2501.66675	5
2501.78345	6
2501.83325	4
2501.94995	4
2502.00000	6
2502.11670	3
2502.16675	4
2502.25000	3
2502.33325	4
2502.44995	4
2502.50000	0
2502.61670	3
2502.69995	5
2502.78345	2
2502.84155	4
2502.94995	3
2503.03345	3
2503.11670	4
2503.19995	4
2503.28345	5
2503.33325	6
2503.44995	6
2503.50000	6
2503.61670	5
2503.66675	5
2503.78345	5
2503.84155	4
2503.91675	4
2504.03345	6
2504.11670	6
2504.16675	4
2504.28345	5
2504.33325	5
2504.44995	3
2504.53345	6
2504.62500	4
2504.70825	5
2504.80005	4
2504.87500	5
2504.94995	5
2505.03345	4
2505.11670	5
2505.16675	4
2505.28345	3
2505.33325	4
2505.41675	3
2505.53345	6
2505.58325	4
2505.66675	3
2505.75000	3
2505.84155	4
2505.94995	5
2506.00000	4
2506.11670	5
2506.16675	4
2506.28345	4
2506.33325	4
2506.45825	5
2506.53345	5
2506.62500	4
2506.70825	4
2506.80005	5
2506.86670	7
2506.95825	5
2507.03345	4
2507.11670	4
2507.19995	4
2507.25000	3
2507.36670	3
2507.41675	4
2507.53345	4
2507.58325	4
2507.66675	4
2507.75830	4
2507.86670	4
2507.91675	4
2508.03345	7
2508.12500	6
2508.19995	5
2508.25000	5
2508.36670	4
2508.44995	4
2508.53345	6
2508.61670	4
2508.69995	5
2508.75830	5
2508.86670	6
2508.91675	5
2509.03345	6
2509.08325	5
2509.16675	6
2509.25000	6
2509.33325	5
