EPRTextModeVersion05

Year
2024
Month
11
Day
30
Time
786
Type
17
Field set
2850.00000
Scan Range
 400.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1768
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2650.00000	0
2650.03345	1
2650.06665	0
2650.10010	0
2650.13330	1
2650.16675	1
2650.19995	0
2650.23340	0
2650.26660	0
2650.30005	1
2650.33325	1
2650.36670	-1
2650.39990	2
2650.43335	0
2650.46655	0
2650.50000	-2
2650.53345	-1
2650.56665	-2
2650.60327	-2
2650.63330	-1
2650.66675	-1
2650.69995	1
2650.73340	-1
2650.76660	0
2650.80005	1
2650.83325	1
2650.86670	2
2650.89990	1
2650.93335	2
2650.96655	1
2651.00000	1
2651.03345	2
2651.06665	3
2651.10010	2
2651.13330	3
2651.16675	4
2651.19995	4
2651.23340	3
2651.27002	1
2651.30322	2
2651.33325	2
2651.36670	3
2651.39990	2
2651.43335	3
2651.46655	2
2651.50000	4
2651.53345	5
2651.56665	2
2651.60010	1
2651.63330	1
2651.66675	3
2651.69995	2
2651.73340	0
2651.76660	0
2651.80005	1
2651.83325	2
2651.86670	4
2651.89990	3
2651.93335	3
2651.96655	3
2652.00000	3
2652.03345	3
2652.06665	3
2652.10010	1
2652.13330	2
2652.16675	5
2652.19995	4
2652.23340	3
2652.27002	3
2652.30005	4
2652.33325	2
2652.36670	2
2652.39990	4
2652.43335	4
2652.46655	3
2652.50000	4
2652.53345	2
2652.56665	3
2652.60010	4
2652.63330	3
2652.66675	5
2652.69995	2
2652.73340	4
2652.76660	3
2652.80005	3
2652.83667	2
2652.86670	3
2652.90332	5
2652.93335	4
2652.96997	4
2653.00000	5
2653.03345	3
2653.06665	3
2653.10010	2
2653.13330	5
2653.16675	3
2653.19995	3
2653.23340	2
2653.26660	3
2653.30005	3
2653.33325	3
2653.36670	4
2653.39990	6
2653.43335	3
2653.46655	3
2653.50000	4
2653.53345	4
2653.56665	3
2653.60010	2
2653.63330	5
2653.66992	4
2653.69995	4
2653.73340	3
2653.76660	2
2653.80005	3
2653.83325	2
2653.86670	1
2653.89990	2
2653.93335	1
2653.96655	2
2654.00000	3
2654.03345	1
2654.06665	2
2654.10010	2
2654.13330	1
2654.16675	2
2654.19995	0
2654.23340	2
2654.26660	0
2654.30005	1
2654.33325	2
2654.37012	0
2654.39990	0
2654.43677	1
2654.46655	0
2654.50000	2
2654.53345	-1
2654.56665	1
2654.60010	1
2654.63330	2
2654.66675	1
2654.69995	1
2654.73340	0
2654.76660	0
2654.80005	1
2654.83325	0
2654.86670	0
2654.89990	2
2654.93677	-1
2654.96655	1
2655.00000	1
2655.03345	1
2655.07007	0
2655.10010	0
2655.13672	0
2655.16675	1
2655.19995	1
2655.23340	-1
2655.26660	0
2655.30005	0
2655.33325	0
2655.36670	0
2655.39990	-1
2655.43335	0
2655.46655	1
2655.50000	-1
2655.53345	-1
2655.56665	-1
2655.60010	0
2655.63330	0
2655.66675	0
2655.69995	1
2655.73340	1
2655.77002	0
2655.80005	1
2655.83325	3
2655.86670	0
2655.90332	1
2655.93335	3
2655.96655	2
2656.00000	2
2656.03345	1
2656.06665	2
2656.10010	2
2656.13330	0
2656.16675	0
2656.19995	0
2656.23340	-1
2656.26660	2
2656.30005	1
2656.33325	2
2656.36670	1
2656.39990	2
2656.43335	2
2656.46997	-1
2656.50000	1
2656.53345	0
2656.56665	1
2656.60010	0
2656.63330	0
2656.66675	1
2656.69995	0
2656.73340	0
2656.76660	1
2656.80005	0
2656.83325	0
2656.86670	0
2656.89990	1
2656.93335	0
2656.96655	0
2657.00000	1
2657.03345	2
2657.06665	2
2657.10010	0
2657.13330	3
2657.16675	2
2657.19995	2
2657.23340	2
2657.26660	2
2657.30005	2
2657.33325	1
2657.36670	1
2657.39990	4
2657.43335	2
2657.46655	3
2657.50000	1
2657.53345	4
2657.56665	2
2657.60010	3
2657.63330	4
2657.66675	1
2657.69995	3
2657.73340	2
2657.76660	1
2657.80005	1
2657.83325	2
2657.86670	4
2657.89990	1
2657.93677	5
2657.96997	3
2658.00000	3
2658.03345	2
2658.06665	2
2658.10010	2
2658.13330	3
2658.16675	3
2658.19995	2
2658.23340	1
2658.26660	1
2658.30005	2
2658.33325	3
2658.36670	1
2658.39990	0
2658.43335	0
2658.46655	3
2658.50000	1
2658.53345	0
2658.56665	1
2658.60010	1
2658.63330	1
2658.66992	1
2658.69995	0
2658.73340	2
2658.76660	1
2658.80005	2
2658.83325	3
2658.86670	3
2658.89990	2
2658.93335	2
2658.96655	2
2659.00000	3
2659.03345	2
2659.06665	2
2659.10010	2
2659.13330	2
2659.16675	2
2659.19995	1
2659.23340	3
2659.26660	2
2659.30005	3
2659.33325	2
2659.36670	0
2659.39990	2
2659.43335	1
2659.46655	3
2659.50342	2
2659.53345	3
2659.56665	2
2659.60327	3
2659.63330	3
2659.66675	3
2659.69995	2
2659.73340	2
2659.76660	1
2659.80005	3
2659.83325	2
2659.86670	1
2659.89990	2
2659.93335	2
2659.96655	2
2660.00000	2
2660.03345	2
2660.06665	3
2660.10010	4
2660.13330	3
2660.16992	1
2660.19995	3
2660.23657	3
2660.26660	2
2660.30322	1
2660.33325	2
2660.36670	2
2660.39990	2
2660.43335	2
2660.46655	2
2660.50000	1
2660.53345	0
2660.56665	1
2660.60010	1
2660.63330	-1
2660.66675	0
2660.69995	1
2660.73340	1
2660.77002	1
2660.80005	1
2660.83667	1
2660.87012	1
2660.90332	2
2660.93335	1
2660.96655	-1
2661.00342	2
2661.03662	0
2661.06665	-1
2661.10010	1
2661.13330	0
2661.16675	3
2661.19995	0
2661.23340	0
2661.26660	2
2661.30005	1
2661.33325	2
2661.36670	1
2661.39990	2
2661.43335	2
2661.46655	2
2661.50000	2
2661.53345	2
2661.56665	2
2661.60010	2
2661.63330	2
2661.66675	3
2661.70337	2
2661.73340	1
2661.76660	1
2661.80005	3
2661.83325	3
2661.86670	2
2661.89990	2
2661.93335	2
2661.96655	2
2662.00000	7
2662.03345	2
2662.06665	2
2662.10010	2
2662.13330	2
2662.16675	1
2662.19995	3
2662.23340	1
2662.27002	0
2662.30005	1
2662.33667	-1
2662.36670	-1
2662.40332	-1
2662.43335	-3
2662.46997	-2
2662.50000	-2
2662.53345	-3
2662.56665	-2
2662.60010	-2
2662.63330	0
2662.66675	-2
2662.69995	-4
2662.73340	-3
2662.76660	-2
2662.80005	-1
2662.83325	-1
2662.86670	-1
2662.89990	-1
2662.93335	-1
2662.96997	-1
2663.00000	-1
2663.03345	-1
2663.06665	0
2663.10010	0
2663.13330	0
2663.16675	1
2663.19995	3
2663.23340	1
2663.26660	3
2663.30005	1
2663.33325	1
2663.36670	1
2663.39990	3
2663.43335	2
2663.46655	3
2663.50000	2
2663.53345	4
2663.56665	3
2663.60010	4
2663.63330	3
2663.66675	4
2663.69995	5
2663.73340	4
2663.76660	3
2663.80005	3
2663.83325	6
2663.86670	5
2663.89990	2
2663.93677	5
2663.96655	4
2664.00000	4
2664.03345	5
2664.06665	3
2664.10010	3
2664.13330	6
2664.16675	5
2664.19995	4
2664.23340	2
2664.26660	4
2664.30005	1
2664.33325	2
2664.36670	2
2664.39990	3
2664.43335	3
2664.46655	2
2664.50342	2
2664.53345	2
2664.57007	3
2664.60010	3
2664.63672	3
2664.66675	2
2664.69995	1
2664.73340	0
2664.76660	0
2664.80005	0
2664.83325	1
2664.86670	1
2664.89990	0
2664.93335	0
2664.96655	3
2665.00000	2
2665.03345	0
2665.06665	1
2665.10010	2
2665.13330	0
2665.16675	3
2665.20337	2
2665.23340	1
2665.27002	1
2665.30005	1
2665.33667	2
2665.36670	0
2665.40332	1
2665.43335	1
2665.46655	1
2665.50000	0
2665.53345	3
2665.56665	1
2665.60010	1
2665.63330	-1
2665.66675	1
2665.69995	1
2665.73340	-1
2665.76660	0
2665.80005	0
2665.83325	0
2665.86670	0
2665.90332	2
2665.93335	0
2665.96655	1
2666.00000	3
2666.03345	2
2666.06665	-1
2666.10010	0
2666.13330	1
2666.16675	2
2666.19995	1
2666.23340	0
2666.26660	2
2666.30005	1
2666.33325	3
2666.36670	1
2666.39990	3
2666.43335	1
2666.46655	2
2666.50000	2
2666.53345	3
2666.56665	3
2666.60327	3
2666.63330	0
2666.66675	3
2666.69995	2
2666.73340	1
2666.76660	1
2666.80322	1
2666.83325	1
2666.87012	2
2666.89990	3
2666.93677	3
2666.96655	3
2667.00000	5
2667.03345	4
2667.06665	4
2667.10010	4
2667.13330	4
2667.16675	5
2667.19995	3
2667.23340	2
2667.26660	3
2667.30005	3
2667.33325	2
2667.36670	3
2667.39990	2
2667.43677	3
2667.46655	4
2667.50342	5
2667.53345	3
2667.56665	3
2667.60010	4
2667.63672	3
2667.66675	3
2667.69995	3
2667.73340	3
2667.76660	0
2667.80005	1
2667.83325	3
2667.86670	2
2667.89990	4
2667.93335	4
2667.96655	2
2668.00000	4
2668.03345	4
2668.06665	4
2668.10010	3
2668.13330	3
2668.16675	3
2668.19995	2
2668.23340	3
2668.27002	4
2668.30005	3
2668.33667	4
2668.36670	4
2668.40332	3
2668.43335	5
2668.46655	4
2668.50000	5
2668.53345	3
2668.56665	3
2668.60010	4
2668.63330	3
2668.66675	4
2668.69995	3
2668.73340	2
2668.76660	3
2668.80005	1
2668.83325	1
2668.86670	3
2668.89990	2
2668.93335	2
2668.96997	1
2669.00342	2
2669.03662	3
2669.07007	2
2669.10010	4
2669.13330	4
2669.16675	4
2669.19995	3
2669.23340	4
2669.26660	3
2669.30005	3
2669.33325	5
2669.36670	5
2669.39990	3
2669.43335	3
2669.46655	3
2669.50000	3
2669.53345	5
2669.56665	4
2669.60010	3
2669.63330	3
2669.66992	2
2669.69995	3
2669.73657	2
2669.76660	3
2669.80005	2
2669.83325	2
2669.86670	2
2669.89990	3
2669.93335	3
2669.96655	5
2670.00000	4
2670.03345	4
2670.06665	5
2670.10010	4
2670.13330	3
2670.16675	4
2670.19995	4
2670.23340	5
2670.26660	4
2670.30005	4
2670.33325	4
2670.36670	4
2670.39990	5
2670.43677	4
2670.46655	2
2670.50000	4
2670.53345	3
2670.56665	4
2670.60010	2
2670.63330	2
2670.66675	3
2670.69995	1
2670.73340	4
2670.76660	3
2670.80005	3
2670.83325	3
2670.86670	2
2670.89990	3
2670.93335	1
2670.96655	1
2671.00000	3
2671.03345	2
2671.06665	1
2671.10010	1
2671.13672	1
2671.16992	0
2671.20337	-1
2671.23340	1
2671.27002	3
2671.30005	3
2671.33667	1
2671.36670	2
2671.39990	1
2671.43335	0
2671.46655	1
2671.50000	1
2671.53345	0
2671.56665	1
2671.60010	2
2671.63330	1
2671.66675	2
2671.69995	1
2671.73340	1
2671.76660	0
2671.80005	2
2671.83667	2
2671.87012	1
2671.89990	1
2671.93335	0
2671.96655	0
2672.00000	1
2672.03345	0
2672.06665	2
2672.10010	0
2672.13330	0
2672.16675	0
2672.19995	1
2672.23340	0
2672.26660	1
2672.30005	1
2672.33325	1
2672.36670	1
2672.39990	1
2672.43335	0
2672.46655	-1
2672.50000	0
2672.53662	-1
2672.57007	-1
2672.60010	1
2672.63330	-1
2672.66675	-1
2672.69995	-1
2672.73657	0
2672.76660	-2
2672.80322	-1
2672.83667	-2
2672.86670	0
2672.89990	1
2672.93335	0
2672.96655	-1
2673.00000	0
2673.03345	0
2673.06665	1
2673.10010	-1
2673.13330	0
2673.16675	1
2673.19995	-2
2673.23657	-1
2673.27002	-1
2673.30322	-1
2673.33325	-1
2673.36670	-2
2673.39990	1
2673.43335	-1
2673.46655	-2
2673.50000	1
2673.53345	-2
2673.56665	-2
2673.60010	-1
2673.63330	-3
2673.66675	-1
2673.69995	-2
2673.73340	-3
2673.76660	-1
2673.80005	0
2673.83325	-1
2673.86670	-1
2673.89990	0
2673.93677	-2
2673.96655	-1
2674.00000	0
2674.03345	-2
2674.06665	-2
2674.10010	-4
2674.13330	-2
2674.16675	-1
2674.19995	-2
2674.23340	-3
2674.26660	-2
2674.30005	0
2674.33325	-3
2674.36670	-1
2674.39990	-3
2674.43335	-2
2674.46655	-2
2674.50000	-2
2674.53345	-1
2674.56665	0
2674.60010	0
2674.63330	-2
2674.66675	-1
2674.69995	-2
2674.73340	-3
2674.76660	-2
2674.80005	-2
2674.83325	-2
2674.86670	-2
2674.89990	-2
2674.93335	1
2674.96997	-2
2675.00000	-1
2675.03345	-2
2675.06665	1
2675.10010	-1
2675.13330	0
2675.16675	1
2675.19995	0
2675.23340	0
2675.26660	2
2675.30005	0
2675.33325	0
2675.36670	1
2675.39990	0
2675.43335	1
2675.46655	2
2675.50000	2
2675.53345	2
2675.56665	1
2675.60010	1
2675.63330	2
2675.66992	3
2675.69995	5
2675.73340	4
2675.76660	2
2675.80005	3
2675.83667	1
2675.86670	1
2675.89990	1
2675.93335	1
2675.96655	1
2676.00000	1
2676.03345	1
2676.06665	1
2676.10010	0
2676.13330	1
2676.16675	0
2676.19995	0
2676.23340	0
2676.26660	0
2676.30005	-1
2676.33325	1
2676.37012	0
2676.39990	0
2676.43335	1
2676.46655	1
2676.50000	3
2676.53345	2
2676.56665	2
2676.60010	2
2676.63330	3
2676.66675	3
2676.69995	3
2676.73340	2
2676.76660	1
2676.80005	0
2676.83325	1
2676.86670	1
2676.89990	0
2676.93677	1
2676.96655	2
2677.00000	1
2677.03345	1
2677.07007	1
2677.10010	2
2677.13672	4
2677.16675	3
2677.19995	2
2677.23340	3
2677.26660	3
2677.30005	2
2677.33667	2
2677.36670	1
2677.39990	1
2677.43335	2
2677.46655	2
2677.50000	1
2677.53345	1
2677.56665	2
2677.60010	0
2677.63330	0
2677.66675	0
2677.69995	1
2677.73340	1
2677.77002	2
2677.80005	2
2677.83667	2
2677.86670	1
2677.89990	-1
2677.93335	1
2677.96655	0
2678.00000	0
2678.03345	-1
2678.06665	-1
2678.10010	-1
2678.13330	-1
2678.16675	1
2678.19995	0
2678.23340	-1
2678.26660	1
2678.30005	1
2678.33667	1
2678.36670	2
2678.40332	0
2678.43335	1
2678.46997	3
2678.50000	1
2678.53345	-1
2678.56665	3
2678.60327	3
2678.63330	0
2678.66675	2
2678.69995	1
2678.73340	3
2678.76660	0
2678.80005	2
2678.83325	2
2678.86670	1
2678.89990	1
2678.93335	2
2678.96655	1
2679.00000	3
2679.03662	2
2679.06665	1
2679.10010	3
2679.13330	2
2679.16992	2
2679.19995	4
2679.23657	4
2679.26660	3
2679.30005	0
2679.33325	3
2679.36670	1
2679.39990	2
2679.43335	3
2679.46655	3
2679.50000	1
2679.53345	0
2679.56665	-1
2679.60010	0
2679.63330	1
2679.66675	-1
2679.69995	0
2679.73340	-1
2679.76660	1
2679.80005	2
2679.83325	3
2679.87012	0
2679.89990	2
2679.93335	3
2679.96655	3
2680.00000	3
2680.03345	3
2680.07007	3
2680.10010	4
2680.13330	3
2680.16675	2
2680.19995	5
2680.23340	4
2680.26660	6
2680.30005	4
2680.33667	5
2680.36670	7
2680.39990	8
2680.43335	7
2680.46655	6
2680.50000	5
2680.53345	4
2680.57007	5
2680.60010	6
2680.63330	6
2680.66675	5
2680.69995	5
2680.73340	5
2680.76660	5
2680.80005	5
2680.83325	5
2680.86670	7
2680.89990	5
2680.93335	4
2680.96655	4
2681.00000	4
2681.03345	5
2681.06665	3
2681.10010	3
2681.13330	5
2681.16675	5
2681.19995	7
2681.23340	5
2681.27002	4
2681.30005	6
2681.33325	5
2681.36670	5
2681.40332	6
2681.43335	7
2681.46655	4
2681.50000	5
2681.53662	7
2681.56665	5
2681.60010	6
2681.63330	5
2681.66675	5
2681.69995	6
2681.73340	5
2681.76660	6
2681.80005	4
2681.83325	5
2681.86670	5
2681.89990	5
2681.93335	5
2681.96997	4
2682.00000	2
2682.03345	4
2682.06665	4
2682.10010	3
2682.13330	3
2682.16675	1
2682.19995	4
2682.23340	2
2682.26660	1
2682.30005	1
2682.33325	1
2682.36670	0
2682.39990	1
2682.43335	1
2682.46655	2
2682.50000	2
2682.53345	1
2682.56665	2
2682.60010	0
2682.63330	2
2682.66675	1
2682.69995	1
2682.73340	0
2682.76660	1
2682.80005	3
2682.83325	1
2682.86670	1
2682.89990	1
2682.93335	0
2682.96655	-1
2683.00342	0
2683.03345	-1
2683.06665	0
2683.10010	-1
2683.13330	1
2683.16675	1
2683.19995	-2
2683.23340	1
2683.26660	1
2683.30005	0
2683.33325	-1
2683.36670	0
2683.39990	0
2683.43335	3
2683.46655	1
2683.50000	2
2683.53345	2
2683.56665	1
2683.60010	2
2683.63330	1
2683.66675	1
2683.70337	1
2683.73657	1
2683.76660	2
2683.80005	3
2683.83325	2
2683.86670	3
2683.89990	1
2683.93335	3
2683.96655	2
2684.00000	2
2684.03345	1
2684.06665	1
2684.10010	3
2684.13330	1
2684.16675	1
2684.19995	1
2684.23340	1
2684.27002	2
2684.30005	2
2684.33325	0
2684.36670	1
2684.40332	2
2684.43335	-2
2684.46997	1
2684.50000	0
2684.53345	0
2684.56665	2
2684.60010	2
2684.63330	2
2684.66675	2
2684.69995	1
2684.73340	0
2684.76660	1
2684.80005	2
2684.83667	2
2684.86670	0
2684.89990	1
2684.93335	0
2684.96655	2
2685.00000	2
2685.03345	1
2685.06665	4
2685.10327	1
2685.13330	2
2685.16675	3
2685.19995	1
2685.23340	1
2685.26660	2
2685.30005	1
2685.33325	3
2685.36670	2
2685.39990	2
2685.43335	2
2685.46655	2
2685.50000	2
2685.53345	1
2685.56665	2
2685.60010	2
2685.63330	0
2685.66992	1
2685.69995	1
2685.73340	1
2685.76660	1
2685.80322	0
2685.83325	1
2685.86670	-1
2685.89990	1
2685.93677	0
2685.96655	0
2686.00000	0
2686.03345	1
2686.06665	0
2686.10010	0
2686.13330	0
2686.16675	1
2686.19995	1
2686.23340	2
2686.26660	0
2686.30005	1
