EPRTextModeVersion05

Year
2024
Month
11
Day
30
Time
782
Type
17
Field set
2750.00000
Scan Range
 400.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1774
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2550.00000	-1
2550.05005	-1
2550.08008	-1
2550.11328	1
2550.14990	-2
2550.17993	-2
2550.21338	-1
2550.23340	1
2550.28003	-1
2550.31323	-1
2550.33325	-1
2550.37988	-2
2550.41992	-2
2550.44678	-1
2550.46655	-3
2550.50000	-1
2550.53345	-1
2550.58008	-1
2550.61328	-1
2550.64990	-1
2550.67993	-2
2550.71655	-2
2550.74658	1
2550.78003	0
2550.81665	-2
2550.85010	0
2550.87988	-2
2550.91333	-1
2550.93335	1
2550.97998	0
2551.00000	-1
2551.05005	-2
2551.06665	-1
2551.11328	-3
2551.14673	-2
2551.16675	-3
2551.21338	1
2551.23340	-1
2551.28003	-1
2551.31323	0
2551.34668	-3
2551.37988	-2
2551.41333	0
2551.44678	-2
2551.48340	1
2551.51343	-1
2551.54004	0
2551.58008	-1
2551.61328	-1
2551.63330	-1
2551.67993	1
2551.69995	2
2551.74658	1
2551.76660	0
2551.80664	0
2551.84668	0
2551.86670	-1
2551.91333	-3
2551.93335	-2
2551.96655	-2
2552.00000	0
2552.04663	-3
2552.07324	-2
2552.11328	-3
2552.14673	-2
2552.18335	1
2552.21338	-1
2552.25000	0
2552.28662	0
2552.31323	0
2552.33325	-1
2552.37988	-1
2552.41333	-2
2552.44678	-1
2552.47998	1
2552.50000	1
2552.54663	0
2552.56665	1
2552.61328	0
2552.63330	2
2552.66675	1
2552.71338	1
2552.75000	1
2552.78003	-1
2552.81665	1
2552.84668	1
2552.88330	0
2552.91675	-1
2552.94995	0
2552.97998	0
2553.00659	-2
2553.04663	0
2553.08008	0
2553.10010	-2
2553.14673	0
2553.16675	-2
2553.21338	-2
2553.23340	-2
2553.28003	0
2553.30005	0
2553.33325	0
2553.36670	-1
2553.41333	-1
2553.43335	-1
2553.48657	0
2553.51343	0
2553.54663	0
2553.58325	-1
2553.61328	-2
2553.64673	-1
2553.67993	-1
2553.71338	-1
2553.74658	-2
2553.78003	-1
2553.81323	-1
2553.83325	-3
2553.87988	-2
2553.91333	-1
2553.93994	-1
2553.97998	-1
2554.01343	-4
2554.04663	-3
2554.07324	-2
2554.11328	-3
2554.13330	-4
2554.16675	-2
2554.20679	-3
2554.23340	-3
2554.28345	-3
2554.31323	-3
2554.35010	-4
2554.37988	-2
2554.41675	-2
2554.44995	-2
2554.48340	-3
2554.51343	-2
2554.54663	-2
2554.56665	-2
2554.61328	-3
2554.64673	-4
2554.66675	-3
2554.71338	-4
2554.73340	-3
2554.78003	-4
2554.80005	-3
2554.84668	-2
2554.86670	-2
2554.91333	-3
2554.93335	-3
2554.98340	-4
2555.01343	-3
2555.05005	-4
2555.08667	-6
2555.11328	-6
2555.14673	-4
2555.17993	-1
2555.21338	-2
2555.24658	-4
2555.28003	-4
2555.31323	-4
2555.33325	-2
2555.37988	-3
2555.39990	-3
2555.44678	-3
2555.46655	-3
2555.51343	-4
2555.54004	-4
2555.58008	-3
2555.60010	-4
2555.64673	-4
2555.66675	-4
2555.71338	-4
2555.74658	-3
2555.78003	-1
2555.81665	-2
2555.85010	-1
2555.87988	-3
2555.91675	-2
2555.94678	-2
2555.97998	-3
2556.01343	-1
2556.04663	0
2556.08008	-2
2556.10010	-2
2556.14673	-2
2556.16675	-2
2556.21338	-1
2556.23340	-2
2556.26660	-2
2556.31323	-2
2556.33325	-1
2556.37988	-3
2556.41333	-3
2556.44678	-4
2556.47339	-3
2556.51660	-3
2556.55005	-2
2556.58008	-3
2556.61328	-3
2556.64673	-3
2556.67993	-3
2556.71655	-1
2556.74658	-2
2556.78003	-1
2556.80005	-3
2556.84668	-4
2556.87988	-3
2556.91333	-5
2556.94678	-4
2556.97998	-4
2557.00000	-3
2557.05005	-3
2557.08008	-4
2557.11328	-5
2557.14673	-3
2557.18335	-3
2557.21655	-4
2557.24658	-4
2557.28003	-3
2557.31665	-4
2557.34668	-5
2557.37988	-5
2557.41333	-5
2557.44678	-4
2557.47998	-5
2557.50000	-6
2557.53345	-5
2557.56665	-6
2557.61328	-7
2557.63330	-6
2557.67993	-7
2557.69995	-6
2557.74658	-6
2557.76660	-6
2557.81323	-5
2557.83325	-5
2557.86670	-5
2557.91333	-5
2557.94995	-5
2557.97998	-2
2558.00000	-3
2558.05005	-3
2558.08008	-5
2558.11328	-6
2558.14673	-5
2558.17993	-6
2558.21338	-5
2558.24658	-6
2558.26660	-5
2558.31323	-7
2558.33325	-6
2558.37988	-6
2558.39990	-5
2558.44678	-5
2558.47998	-5
2558.50000	-4
2558.55322	-4
2558.56665	-4
2558.61328	-4
2558.63330	-3
2558.67993	-2
2558.71338	-2
2558.75000	-1
2558.78003	-1
2558.81323	-3
2558.84668	-2
2558.88330	-4
2558.91333	-2
2558.94678	-3
2558.97998	-5
2559.00000	-4
2559.03345	-3
2559.08008	-3
2559.11328	-5
2559.13330	-5
2559.16675	-2
2559.21338	-5
2559.23340	-5
2559.28003	-4
2559.31323	-2
2559.33325	-4
2559.37988	-4
2559.41333	-3
2559.44995	-4
2559.47998	-3
2559.51660	-3
2559.54663	-1
2559.58325	-3
2559.62012	-3
2559.64673	-1
2559.66675	-2
2559.71338	-1
2559.73340	-1
2559.78003	-2
2559.80005	-2
2559.83325	-1
2559.87988	-3
2559.91333	-2
2559.93335	-2
2559.97998	-2
2560.00000	-2
2560.04663	0
2560.06665	-1
2560.11328	-1
2560.13330	0
2560.17993	0
2560.21338	-2
2560.24658	0
2560.28662	-3
2560.31323	0
2560.34668	-1
2560.37988	-2
2560.41333	-2
2560.43335	0
2560.47998	-1
2560.50000	2
2560.54663	1
2560.58008	-1
2560.61328	-1
2560.64673	-1
2560.66675	-2
2560.71338	-1
2560.73340	-1
2560.78003	2
2560.80005	-1
2560.84668	-2
2560.87988	0
2560.91333	-1
2560.94678	-1
2560.98340	-1
2561.01660	-3
2561.04663	-2
2561.08008	-1
2561.11328	-2
2561.14673	-4
2561.16675	-2
2561.21338	-3
2561.24658	-2
2561.26660	-1
2561.31323	-4
2561.33325	-1
2561.37988	-2
2561.39990	-5
2561.44678	-3
2561.46655	-3
2561.51343	-3
2561.53345	-2
2561.56665	-4
2561.61328	-6
2561.64673	-5
2561.66675	-3
2561.71338	-3
2561.74658	-4
2561.78003	-5
2561.81323	-6
2561.84668	-4
2561.87988	-6
2561.91333	-6
2561.93335	-4
2561.97998	-6
2562.00000	-6
2562.04663	-4
2562.06665	-5
2562.11328	-6
2562.13330	-5
2562.17993	-5
2562.19995	-5
2562.24658	-3
2562.26660	-4
2562.31323	-2
2562.35010	-4
2562.37988	-3
2562.41333	-4
2562.44678	-2
2562.47998	-3
2562.51343	-3
2562.54663	-2
2562.58008	-3
2562.61328	-4
2562.63330	-3
2562.66675	-4
2562.71338	-1
2562.73340	-2
2562.78003	-3
2562.80005	-1
2562.83325	-4
2562.87988	-3
2562.91333	-2
2562.93335	-1
2562.97998	-1
2563.00000	-2
2563.04663	-3
2563.08008	-2
2563.11328	-2
2563.14673	-2
2563.18335	-2
2563.21338	-2
2563.25000	-1
2563.28003	-3
2563.31323	-3
2563.33325	-2
2563.37988	-4
2563.41333	-2
2563.43335	-3
2563.47998	-2
2563.50000	-2
2563.54663	-3
2563.56665	-4
2563.61328	-3
2563.63330	-4
2563.67993	-3
2563.69995	-3
2563.74658	-4
2563.78003	-4
2563.81323	-4
2563.84668	-4
2563.88330	-2
2563.91333	-5
2563.94995	-3
2563.97998	-3
2564.01343	-2
2564.03345	-3
2564.08008	-3
2564.10010	-2
2564.14673	-3
2564.16675	-5
2564.21338	-3
2564.23340	-2
2564.28003	-4
2564.30005	-2
2564.33325	-5
2564.37988	-4
2564.41333	-5
2564.43335	-3
2564.47998	-5
2564.51343	-4
2564.55322	-3
2564.58325	-6
2564.61670	-4
2564.64990	-6
2564.68335	-7
2564.71338	-5
2564.74658	-4
2564.78003	-5
2564.81665	-5
2564.84668	-3
2564.86670	-6
2564.91333	-4
2564.94678	-5
2564.97998	-5
2565.00000	-5
2565.04663	-3
2565.06665	-3
2565.11328	-3
2565.13330	-1
2565.16675	-3
2565.21338	-3
2565.24658	-3
2565.28345	-2
2565.31665	-3
2565.35327	-1
2565.37988	-1
2565.41675	-2
2565.44678	-1
2565.48340	-2
2565.51343	-3
2565.54663	-2
2565.56665	-4
2565.61328	-3
2565.64673	-3
2565.66675	-3
