EPRTextModeVersion05

Year
2024
Month
11
Day
30
Time
866
Type
17
Field set
3000.00000
Scan Range
1000.00000
Reciver Gain
 500.00000
Time scan
   2.00000
Dots number
12000
Time constant
   0.30000
Modulation amplitude
  10.00000
Frequency
   9.14500
Power
  10.00000
Base line
1757
298, C
 295.00000
R, Ohm
   0.00000
Setted field
3251.00000
Scans number
1
Used ADC
3
x_ratio
5.00000
x-coordinate	Amplitude
2500.00000	-2
2500.11670	-3
2500.19995	-4
2500.28345	-3
2500.36670	0
2500.45825	-4
2500.53345	-2
2500.62500	-4
2500.70825	-5
2500.79175	-5
2500.87500	-4
2500.95825	-5
2501.03345	-4
2501.11670	-5
2501.19995	-5
2501.28345	-3
2501.36670	-5
2501.41675	-5
2501.50000	-5
2501.58325	-5
2501.69995	-5
2501.75000	-6
2501.83325	-3
2501.94995	-5
2502.03345	-4
2502.08325	-4
2502.19995	-2
2502.25000	-2
2502.36670	-3
2502.44995	-4
2502.53345	-1
2502.61670	-5
2502.69995	-3
2502.75000	-3
2502.86670	-2
2502.95825	-3
2503.03345	-4
2503.11670	-2
2503.19995	-3
2503.28345	-2
2503.36670	-2
2503.44995	-2
2503.50000	-3
2503.61670	-2
2503.69995	-2
2503.78345	-3
2503.86670	0
2503.94995	-3
2504.03345	-3
2504.12500	-4
2504.20825	-4
2504.29175	-5
2504.36670	-5
2504.45825	-5
2504.53345	-4
2504.58325	-4
2504.69995	-3
2504.78345	-5
2504.86670	-4
2504.94995	-3
2505.03345	-4
2505.11670	-5
2505.19995	-5
2505.28345	-6
2505.36670	-5
2505.44995	-6
2505.53345	-4
2505.61670	-5
2505.69995	-4
2505.78345	-5
2505.86670	-4
2505.95825	-5
2506.03345	-4
2506.11670	-6
2506.19995	-2
2506.29175	-5
2506.36670	-4
2506.45825	-6
2506.53345	-3
2506.61670	-3
2506.69995	-5
2506.78345	-4
2506.83325	-3
2506.94995	-5
2507.00000	-5
2507.11670	-6
2507.19995	-6
2507.28345	-6
2507.33325	-6
2507.44995	-7
2507.53345	-7
2507.61670	-5
2507.69995	-5
2507.79175	-5
2507.86670	-5
2507.95825	-3
2508.04175	-4
2508.12500	-6
2508.19995	-6
2508.28345	-6
2508.37500	-6
2508.44995	-7
2508.53345	-5
2508.61670	-6
2508.69995	-5
2508.75000	-5
2508.86670	-6
2508.91675	-6
2509.03345	-4
2509.08325	-3
2509.19995	-5
2509.25000	-5
2509.36670	-4
2509.41675	-2
2509.53345	-2
2509.58325	-1
2509.69995	-3
2509.78345	-3
2509.86670	-4
2509.94995	-3
2510.04175	-3
2510.12500	-2
2510.20825	-3
2510.28345	-3
2510.37500	-5
2510.44995	-2
2510.50000	-2
2510.61670	-2
2510.66675	-1
2510.78345	-1
2510.83325	-1
2510.94995	-2
2511.00000	-2
2511.08325	-2
2511.16675	-3
2511.28345	-2
2511.33325	0
2511.44995	-5
2511.53345	-5
2511.61670	-3
2511.70825	-5
2511.78345	-6
2511.86670	-3
2511.94995	-6
2512.03345	-3
2512.11670	-3
2512.19995	-3
2512.28345	-5
2512.36670	-5
2512.44995	-3
2512.50000	-5
2512.61670	-5
2512.66675	-4
2512.78345	-6
2512.83325	-5
2512.94995	-5
2513.00000	-6
2513.11670	-7
2513.16675	-7
2513.29175	-6
2513.36670	-4
2513.44995	-6
2513.53345	-5
2513.62500	-5
2513.69995	-6
2513.79175	-6
2513.87500	-6
2513.95825	-5
2514.03345	-4
2514.11670	-4
2514.19995	-4
2514.25000	-5
2514.36670	-3
2514.41675	-4
2514.53345	-5
2514.58325	-3
2514.69995	-3
2514.75000	-4
2514.86670	-4
2514.91675	-4
2515.03345	-4
2515.11670	-4
2515.20825	-4
2515.29175	-1
2515.36670	-3
2515.45825	-4
2515.54175	-5
2515.61670	-3
2515.69995	-5
2515.78345	-3
2515.87500	-5
2515.94995	-5
2516.00000	-6
2516.11670	-4
2516.16675	-6
2516.28345	-5
2516.33325	-5
2516.44995	-5
2516.50000	-5
2516.61670	-6
2516.66675	-8
2516.78345	-7
2516.83325	-7
2516.94995	-6
2517.04175	-4
2517.12500	-6
2517.20825	-6
2517.29175	-6
2517.37500	-6
2517.44995	-8
2517.53345	-5
2517.62500	-7
2517.69995	-6
2517.79175	-6
2517.86670	-8
2517.91675	-7
2518.04175	-5
2518.08325	-6
2518.19995	-8
2518.28345	-9
2518.36670	-7
2518.44995	-9
2518.53345	-7
2518.61670	-9
2518.69995	-7
2518.79175	-8
2518.86670	-7
2518.94995	-7
2519.04175	-8
2519.11670	-9
2519.20825	-7
2519.28345	-7
2519.37500	-6
2519.44995	-5
2519.54175	-3
2519.62500	-4
2519.69995	-6
2519.78345	-8
2519.83325	-6
2519.94995	-7
2520.00000	-8
2520.11670	-5
2520.16675	-5
2520.28345	-5
2520.33325	-8
2520.44995	-6
2520.50000	-6
2520.61670	-5
2520.69995	-6
2520.78345	-7
2520.87500	-8
2520.94995	-7
2521.03345	-9
2521.11670	-10
2521.19995	-7
2521.29175	-5
2521.37500	-6
2521.44995	-5
2521.53345	-5
2521.61670	-3
2521.66675	-4
2521.78345	-3
2521.86670	-3
2521.94995	-4
2522.03345	-4
2522.11670	-2
2522.19995	-3
2522.25000	-4
2522.36670	-4
2522.44995	-4
2522.54175	-6
2522.61670	-5
2522.70825	-4
2522.78345	-5
2522.87500	-4
2522.95825	-4
2523.04175	-4
2523.11670	-5
2523.19995	-5
2523.25000	-5
2523.36670	-3
2523.44995	-3
2523.53345	-4
2523.58325	-5
2523.69995	-3
2523.78345	-3
2523.86670	-4
2523.94995	-6
2524.03345	-3
2524.11670	-4
2524.19995	-3
2524.29175	-5
2524.36670	-4
2524.44995	-4
2524.53345	-5
2524.61670	-5
2524.69995	-6
2524.79175	-6
2524.86670	-4
2524.94995	-5
2525.03345	-4
2525.11670	-5
2525.20825	-3
2525.28345	-5
2525.33325	-2
2525.44995	-5
2525.54175	-5
2525.61670	-5
2525.66675	-6
2525.78345	-4
2525.86670	-5
2525.94995	-7
2526.03345	-4
2526.11670	-6
2526.20825	-4
2526.29175	-4
2526.37500	-4
2526.44995	-5
2526.54175	-4
2526.61670	-5
2526.70825	-4
2526.78345	-1
2526.86670	-5
2526.94995	-4
2527.03345	-5
2527.08325	-3
2527.19995	-3
2527.28345	-4
2527.36670	-2
2527.41675	-2
2527.53345	-2
2527.61670	-3
2527.69995	-3
2527.78345	-3
2527.86670	-2
2527.95825	-4
2528.03345	-2
2528.11670	-2
2528.19995	-2
2528.29175	-4
2528.37500	-2
2528.45825	-1
2528.54175	-2
2528.61670	-1
2528.69995	-2
2528.78345	-2
2528.83325	-2
2528.94995	-4
2529.00000	-1
2529.11670	-3
2529.16675	-1
2529.28345	-2
2529.33325	-3
2529.44995	-4
2529.50000	-4
2529.61670	-6
2529.66675	-7
2529.78345	-6
2529.86670	-4
2529.94995	-6
2530.04175	-4
2530.11670	-5
2530.19995	-2
2530.28345	-4
2530.36670	-4
2530.44995	-4
2530.53345	-1
2530.61670	-3
2530.66675	-6
2530.78345	-7
2530.83325	-6
2530.91675	-3
2531.00000	-6
2531.11670	-5
2531.16675	-6
2531.28345	-4
2531.33325	-4
2531.44995	-4
2531.50000	-4
2531.61670	-3
2531.69995	-4
2531.79175	-6
2531.87500	-4
2531.95825	-3
2532.03345	-4
2532.12500	-4
2532.19995	-4
2532.28345	-4
2532.36670	-4
2532.44995	-3
2532.53345	-7
2532.58325	-5
2532.66675	-7
2532.75000	-5
2532.86670	-6
2532.91675	-6
2533.04175	-5
2533.11670	-7
2533.19995	-6
2533.28345	-5
2533.36670	-6
2533.44995	-5
2533.54175	-5
2533.62500	-3
2533.69995	-5
2533.78345	-5
2533.86670	-3
2533.91675	-4
2534.03345	-4
2534.11670	-3
2534.19995	-4
2534.25000	-5
2534.33325	-2
2534.41675	-3
2534.53345	-2
2534.61670	-2
2534.66675	-2
2534.78345	-3
2534.83325	-4
2534.94995	-5
2535.00000	-3
2535.11670	-5
2535.16675	-4
2535.29175	-3
2535.36670	-4
2535.45825	-2
2535.53345	-5
2535.61670	-3
2535.70825	-4
2535.78345	-6
2535.87500	-4
2535.94995	-6
2536.03345	-2
2536.11670	-6
2536.16675	-5
2536.28345	-4
2536.36670	-2
2536.41675	-4
2536.53345	-4
2536.58325	-3
2536.69995	-2
2536.75000	-2
2536.86670	-4
2536.91675	-3
2537.03345	-2
2537.12500	-4
2537.19995	-4
2537.28345	-3
2537.36670	-5
2537.44995	-4
2537.53345	-4
2537.58325	-5
2537.69995	-5
2537.78345	-5
2537.87500	-6
2537.94995	-5
2538.03345	-5
2538.11670	-5
2538.16675	-5
2538.28345	-6
2538.33325	-5
2538.44995	-5
2538.50000	-5
2538.61670	-6
2538.66675	-5
2538.75000	-6
2538.86670	-6
2538.94995	-7
2539.00000	-5
2539.11670	-4
2539.20825	-2
2539.28345	-3
2539.36670	-2
2539.44995	-4
2539.53345	-3
2539.62500	-3
2539.69995	-4
2539.78345	-3
2539.86670	-4
2539.91675	-5
2540.03345	-3
2540.08325	-3
2540.19995	-3
2540.25000	-4
2540.33325	-4
2540.44995	-6
2540.50000	-5
2540.61670	-5
2540.69995	-4
2540.78345	-5
2540.87500	-3
2540.95825	-4
2541.03345	-5
2541.11670	-4
2541.19995	-4
2541.28345	-5
2541.37500	-5
2541.44995	-4
2541.53345	-4
2541.61670	-5
2541.66675	-5
2541.78345	-3
2541.83325	-2
2541.94995	-5
2542.00000	-4
2542.11670	-4
2542.16675	-2
2542.25000	-2
2542.36670	-3
2542.44995	-3
2542.53345	-2
2542.62500	-4
2542.70825	-2
2542.78345	-1
2542.86670	-1
2542.95825	-1
2543.03345	0
2543.08325	1
2543.19995	0
2543.28345	-2
2543.36670	-1
2543.44995	0
2543.53345	-1
2543.58325	-3
2543.69995	-3
2543.75000	-2
2543.86670	-3
2543.91675	-4
2544.03345	-3
2544.08325	-4
2544.19995	-1
2544.25000	-3
2544.36670	-1
2544.45825	-2
2544.53345	-2
2544.62500	0
2544.69995	-1
2544.78345	-1
2544.86670	0
2544.91675	-2
2545.03345	-3
2545.11670	-2
2545.19995	-2
2545.25000	-2
2545.36670	-1
2545.41675	-2
2545.53345	-1
2545.58325	-2
2545.69995	-2
2545.75000	-2
2545.83325	-3
2545.94995	-2
2546.03345	-2
2546.08325	-2
2546.19995	-1
2546.29175	-2
2546.36670	-1
2546.45825	-1
2546.53345	-1
2546.61670	1
2546.70825	0
2546.78345	-1
2546.87500	-2
2546.94995	0
2547.03345	1
2547.11670	0
2547.19995	-1
2547.25000	-1
2547.36670	-1
2547.44995	-1
2547.53345	-1
2547.61670	-3
2547.70825	-2
2547.78345	-1
2547.86670	-2
2547.94995	-3
2548.04175	-2
2548.12500	-1
2548.19995	-2
2548.29175	-2
2548.37500	-3
2548.44995	-2
2548.53345	-3
2548.61670	-3
2548.70825	-3
2548.78345	-3
2548.86670	-4
2548.94995	-2
2549.00000	-2
2549.11670	-4
2549.16675	-4
2549.28345	-4
2549.33325	-5
2549.44995	-3
2549.50000	-3
2549.61670	-3
2549.66675	-2
2549.78345	-3
2549.87500	-3
2549.94995	-3
2550.04175	-3
2550.11670	-3
2550.19995	-3
2550.28345	-4
2550.36670	-3
2550.44995	-3
2550.53345	-1
2550.61670	-4
2550.66675	1
2550.78345	-2
2550.83325	0
2550.94995	-2
2551.00000	-3
2551.08325	-2
2551.16675	-2
2551.28345	-2
2551.33325	-1
2551.44995	-3
2551.50000	-2
2551.61670	-4
2551.69995	-2
2551.79175	-3
2551.86670	-2
2551.94995	-2
2552.03345	0
2552.12500	0
2552.19995	0
2552.28345	0
2552.36670	-2
2552.44995	-2
2552.53345	-1
2552.61670	0
2552.69995	0
2552.78345	0
2552.83325	0
2552.94995	1
2553.03345	3
2553.11670	2
2553.19995	3
2553.25000	1
2553.36670	2
2553.41675	2
2553.53345	1
2553.61670	1
2553.69995	2
2553.78345	2
2553.87500	2
2553.94995	1
2554.04175	0
2554.12500	0
2554.20825	0
2554.28345	1
2554.36670	1
2554.44995	0
2554.53345	-1
2554.58325	-1
2554.69995	0
2554.78345	-1
2554.86670	0
2554.94995	1
2555.00000	-1
2555.11670	0
2555.16675	-1
2555.28345	0
2555.36670	0
2555.45825	-2
2555.53345	0
2555.58325	0
2555.69995	0
2555.78345	-1
2555.87500	-1
2555.94995	-4
2556.03345	-2
2556.11670	-3
2556.19995	-4
2556.28345	-3
2556.33325	-3
2556.44995	-1
2556.50000	-3
2556.61670	-3
2556.66675	-2
2556.78345	-1
2556.83325	-2
2556.94995	-4
2557.00000	-5
2557.08325	-3
2557.19995	-3
2557.28345	-5
2557.36670	-4
2557.44995	-5
2557.53345	-5
2557.61670	-2
2557.69995	-2
2557.78345	-3
2557.86670	-3
2557.95825	-3
2558.03345	-2
2558.11670	-3
2558.19995	-4
2558.28345	-2
2558.36670	-4
2558.41675	-4
2558.53345	-4
2558.58325	-3
2558.69995	-3
2558.75000	-2
2558.86670	-2
2558.91675	-3
2559.04175	-3
2559.11670	-5
2559.20825	-3
2559.28345	-3
2559.37500	-3
2559.44995	-5
2559.53345	-5
2559.61670	-4
2559.70825	-6
2559.78345	-4
2559.86670	-3
2559.94995	-4
2560.03345	-4
2560.08325	-6
2560.19995	-4
2560.28345	-4
2560.36670	-2
2560.44995	-2
2560.53345	-3
2560.61670	-4
2560.69995	-2
2560.78345	-3
2560.87500	-3
2560.95825	-4
2561.03345	-4
2561.12500	-3
2561.20825	-2
2561.29175	-3
2561.36670	-4
2561.44995	-4
2561.53345	-3
2561.61670	-3
2561.69995	-4
2561.78345	-2
2561.83325	-1
2561.94995	-1
2562.00000	-2
2562.11670	-1
2562.16675	-1
2562.28345	-2
2562.33325	-3
2562.44995	-1
2562.50000	-2
2562.61670	-2
2562.66675	-2
2562.78345	-2
2562.86670	-2
2562.95825	-4
2563.03345	-3
2563.12500	-4
2563.20825	-3
2563.28345	-4
2563.37500	-4
2563.44995	-3
2563.53345	-2
2563.58325	-3
2563.69995	-3
2563.75000	-5
2563.86670	-2
2563.91675	-2
2564.03345	-1
2564.08325	-1
2564.19995	-1
2564.25000	-2
2564.36670	-3
2564.41675	-4
2564.53345	-1
2564.62500	-2
2564.69995	-2
2564.78345	-4
2564.86670	-2
2564.94995	-4
2565.03345	-4
2565.08325	-4
2565.19995	-5
2565.28345	-5
2565.33325	-5
2565.41675	-3
2565.53345	-4
2565.58325	-5
2565.69995	-4
2565.75000	-5
2565.86670	-5
2565.91675	-5
2566.03345	-6
2566.08325	-5
2566.19995	-6
2566.28345	-5
2566.37500	-5
2566.44995	-8
2566.53345	-3
2566.61670	-7
2566.70825	-5
2566.78345	-6
2566.87500	-4
2566.94995	-5
2567.03345	-5
2567.11670	-5
2567.19995	-5
2567.28345	-6
2567.36670	-5
2567.41675	-5
2567.53345	-4
2567.61670	-6
2567.69995	-4
2567.75000	-3
2567.86670	-5
2567.94995	-4
2568.03345	-5
2568.11670	-3
2568.19995	-5
2568.28345	-5
2568.37500	-3
2568.45825	-5
2568.54175	-5
2568.62500	-5
2568.70825	-6
2568.79175	-5
2568.86670	-4
2568.94995	-4
2569.03345	-4
2569.11670	-5
2569.16675	-1
2569.28345	-4
2569.33325	-4
2569.44995	-3
2569.50000	-5
2569.61670	-4
2569.66675	-5
2569.78345	-5
2569.83325	-4
2569.94995	-4
